format,caption,owner,likes,comments,views,engagement,date,source,url
рилс,"я клинический психолог, и сейчас будет один из самых надежных зеленых флагов в человеке обращай внимание не на красивые слова и громкие обещания, а на то как че",_rybakova,231499,5959,3305784,237458,2026-05-22,@_rybakova,https://www.instagram.com/p/DYos9LdJwDR/
рилс,"Что делать, если вас тресет после кофе и у вы уже на грани панической атаки? Нужно просто съесть этот продукт!",makskolginpsy,76739,7429,2332781,84168,2026-04-17,@makskolginpsy,https://www.instagram.com/p/DXPDc2ZiOgv/
рилс,Почему мы так сильно любим сплетни?,makskolginpsy,80790,857,1933728,81647,2026-04-21,@makskolginpsy,https://www.instagram.com/p/DXZ6PweDRh0/
рилс,"я клинический психолог, и вот красный флаг, который многие замечают слишком поздно когда человек не любит животных, раздражается на вашего питомца, закатывает г",_rybakova,63069,1907,1419026,64976,2026-05-11,@_rybakova,https://www.instagram.com/p/DYMalNnJYdn/
рилс,Разверни 👇🏻 5 признаков ВДД (взрослых детей из деструктивных семей) 1. Из любой жести могут разогнать стендап. 2. Умют быстро «считывать» людей и пространства .,kopeusha,62584,2033,1267333,64617,2026-04-19,@kopeusha,https://www.instagram.com/p/DXUf8ajDNQ5/
рилс,"Что делать, если накрыла тревога? Крайне эффективное упражнение для деактивации амигдалы!",makskolginpsy,29689,16813,764614,46502,2026-04-13,@makskolginpsy,https://www.instagram.com/p/DXFQ5jbjUFs/
рилс,Как не повторить больше это п…ц в новых отношениях! В шапке профиля по ссылочке есть группа с Разборами!! где я также просто и понятно разбираю запросы участник,jull_gal,31419,1301,1317974,32720,2026-06-02,@jull_gal,https://www.instagram.com/p/DZFUFQPsxGm/
рилс,"я клинический психолог, и один из самых недооцененных красных флагов в любых отношениях выглядит как обычные комментарии про еду ты еще не успела поесть, а уже ",_rybakova,28706,712,650938,29418,2026-05-15,@_rybakova,https://www.instagram.com/p/DYWjbVpJpyv/
рилс,по-братски внатуре🤝 количество метафорических карт в колоде стремительно растет!😂,katya_vit,23652,1092,244386,24744,2026-04-30,@katya_vit,https://www.instagram.com/p/DXw901aMGyk/
рилс,Что такое травма на самом деле через призму биологии?,makskolginpsy,10293,11780,233764,22073,2026-05-19,@makskolginpsy,https://www.instagram.com/p/DYh-ivMNtSl/
рилс,"Относиться к себе со сбалансированными бережным, но настойчивым интересом, сочувствием и пониманием и при этом с необходимой долей критичности и требовательност",firefaya,19117,226,245213,19343,2026-06-05,@firefaya,https://www.instagram.com/p/DZNM32hMdbz/
рилс,Пиши слово «травма» в комментариях,makskolginpsy,4479,14798,194249,19277,2026-05-10,@makskolginpsy,https://www.instagram.com/p/DYKdn0itFWo/
рилс,Почему происходит «разбег» от сочувствия до безжалостности 🔽 Потому что обратная сторона эмпатии ВДД (взрослых детей из деструктивных семей) - это плохой контак,kopeusha,17451,662,283165,18113,2026-04-28,@kopeusha,https://www.instagram.com/p/DXrxLunDIgt/
рилс,"как можно вдохновить женщину? давайте составим им инструкцию, а то они сами не справятся",feminavolens,15808,734,163945,16542,2026-05-06,@feminavolens,https://www.instagram.com/p/DX_H0mURtVU/
рилс,"один из самых незаметных красных флагов в отношениях выглядит очень безобидно ты знаешь о нем все, его детство, бывших, страхи, проблемы на работе, планы на буд",_rybakova,15252,449,485233,15701,2026-06-07,@_rybakova,https://www.instagram.com/p/DZSEt-AMB6d/
рилс,"как у вас с опорой, постролили или в процессе?",feminavolens,12868,325,197556,13193,2026-05-19,@feminavolens,https://www.instagram.com/p/DYgrCIqRN7-/
рилс,"Разверни 👇🏻 Если узнаете себя - по ссылке в шапке профиля есть рабочая тетрадь для ВДД (взрослых детей из деструктивных семей) в ней есть теория, тестирование и",kopeusha,11818,126,207798,11944,2026-05-17,@kopeusha,https://www.instagram.com/p/DYcg5ROsqPS/
рилс,"я клинический психолог, и один из самых опасных красных флагов в отношениях женщины часто недооценивают❗️ когда человек швыряет вещи, бьет кулаком по столу, хло",_rybakova,10192,300,333137,10492,2026-05-13,@_rybakova,https://www.instagram.com/p/DYRg6gOpNsV/
рилс,не под запись😏,katya_vit,9694,423,208538,10117,2026-06-10,@katya_vit,https://www.instagram.com/p/DZaQzjuMecS/
рилс,"ну в самом деле🙄 ладан был поло санто хахах, всё таки В1 не моё…выбираю С2!",katya_vit,9230,493,107041,9723,2026-05-23,@katya_vit,https://www.instagram.com/p/DYr1MMFM9s4/
